committee_id,committee_name,report_year,file_number,payee_name,expenditure_description,expenditure_date,dissemination_date,expenditure_amount,support_oppose_indicator,candidate_id,candidate_name,candidate_office,candidate_office_state,candidate_office_district,candidate_party,election_type,election_type_full
C00487470,CLUB FOR GROWTH ACTION,2021,1530176,CLUB FOR GROWTH,TV AD PRODUCTION (FROM ADVANCE LINE 21),7/21/21 0:00,7/21/21 0:00,203.48,O,H6WY00159,"CHENEY, ELIZABETH MRS.",H,WY,1,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1597885,CLUB FOR GROWTH,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),5/23/22 0:00,5/23/22 0:00,21.94,S,S2NV00324,"LAXALT, ADAM",S,NV,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1595604,WARFIELD AND COMPANY,RADIO AD PRODUCTION,5/16/22 0:00,5/18/22 0:00,1747.5,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1595604,"MEDIUM BUYING, LLC",RADIO AD PLACEMENT,5/16/22 0:00,5/18/22 0:00,30228.75,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1579067,"MEDIUM BUYING, LLC",RADIO AD PLACEMENT,4/4/22 0:00,4/6/22 0:00,89775,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1547523,CLUB FOR GROWTH,TV AD COSTS (FROM ADVANCE LINE 21),11/2/21 0:00,11/2/21 0:00,68.66,O,S2OH00436,"VANCE, J D",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1588449,"THE STONERIDGE GROUP, LLC","MAIL PRODUCTION, POSTAGE",4/13/22 0:00,4/19/22 0:00,12664.68,O,H0WV01072,"MCKINLEY, DAVID B. MR.",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1531643,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),7/28/21 0:00,7/28/21 0:00,166.22,O,H2OH15129,"PETERSON, BOB",H,OH,15,REP,S2021,SPECIAL-PRIMARY
C00487470,CLUB FOR GROWTH ACTION,2022,1572509,CLUB FOR GROWTH,TV AD COSTS (FROM ADVANCE LINE 21),3/4/22 0:00,3/4/22 0:00,68.66,O,S2AL00145,"BRITT, KATIE BOYD",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1579076,CLUB FOR GROWTH,TV AD COSTS (FROM ADVANCE LINE 21),4/6/22 0:00,4/6/22 0:00,83.1,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1559420,"BIG DOG STRATEGIES, LLC","MAIL PRODUCTION, POSTAGE",1/14/22 0:00,1/25/22 0:00,35186.8,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1593035,WARFIELD AND COMPANY,DIGITAL AD PRODUCTION,5/6/22 0:00,5/8/22 0:00,3787,O,H2NC04200,"DAUGHTRY, KELLY",H,NC,13,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1530178,CLUB FOR GROWTH,PRESS RELEASE (FROM ADVANCE LINE 21),7/22/21 0:00,7/22/21 0:00,185.94,O,H6WY00159,"CHENEY, ELIZABETH MRS.",H,WY,1,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1592626,"MCSHANE, LLC",TEXT/PHONE MESSAGING,5/4/22 0:00,5/6/22 0:00,9215.51,O,H2NC04200,"DAUGHTRY, KELLY",H,NC,13,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1530176,GOOGLE ADS,TV AD PLACEMENT,7/21/21 0:00,7/21/21 0:00,2000,O,H6WY00159,"CHENEY, ELIZABETH MRS.",H,WY,1,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1593696,CLUB FOR GROWTH,TV AD PRODUCTION (FROM ADVANCE LINE 21),5/11/22 0:00,5/11/22 0:00,221.37,S,S2PA00489,"BARNETTE, KATHY",S,PA,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1521848,"MEDIUM BUYING, LLC",TV AD PLACEMENT,6/28/21 0:00,6/29/21 0:00,224265.41,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2021,1519931,CLUB FOR GROWTH,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),5/27/21 0:00,5/27/21 0:00,7.24,O,H8TX06266,"ELLZEY, JOHN KEVIN SR",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2022,1573525,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),3/10/22 0:00,3/10/22 0:00,175.44,O,S2NC00489,"MCCRORY, PATRICK LLOYD",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1590515,COLD SPARK MEDIA,"DIGITAL AD PLACEMENT, PRODUCTION",4/25/22 0:00,4/25/22 0:00,63854.04,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1595604,CLUB FOR GROWTH,RADIO AD PRODUCTION (FROM ADVANCE LINE 21),5/18/22 0:00,5/18/22 0:00,102.29,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1559420,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),1/25/22 0:00,1/25/22 0:00,146.78,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1563170,WARFIELD AND COMPANY,TV AD PRODUCTION,1/11/22 0:00,1/29/22 0:00,8876,S,S8AL00381,"BROOKS, MO",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1597885,WARFIELD AND COMPANY,RADIO AD PRODUCTION,5/24/22 0:00,5/25/22 0:00,3210,O,S2NV00308,"BROWN, SAM",S,NV,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1521518,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),6/22/21 0:00,6/22/21 0:00,224.47,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2021,1529160,CLUB FOR GROWTH,DOOR TO DOOR FIELD PROGRAM (FROM ADVANCE LINE 21),7/19/21 0:00,7/19/21 0:00,155.5,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2022,1579234,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),4/7/22 0:00,4/7/22 0:00,153.43,O,H0WV01072,"MCKINLEY, DAVID B. MR.",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1609250,CLUB FOR GROWTH,DOOR TO DOOR FIELD PROGRAM (FROM ADVANCE LINE 21),7/12/22 0:00,7/12/22 0:00,128.65,S,H2MO07143,"BURLISON, ERIC",H,MO,7,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1546466,"ARMADA STRATEGIES, LLC",TV AD PLACEMENT,10/18/21 0:00,10/23/21 0:00,399177.82,O,S2OH00436,"VANCE, J D",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1537326,PRIME MEDIA PARTNERS,DIGITAL AD PRODUCTION COSTS,8/31/21 0:00,9/8/21 0:00,3000,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1556136,CLUB FOR GROWTH,TV AD PRODUCTION (FROM ADVANCE LINE 21),1/12/22 0:00,1/12/22 0:00,178.74,O,S2AL00145,"BRITT, KATIE BOYD",S,AL,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1558544,"ARMADA STRATEGIES, LLC",TV AD PLACEMENT,1/17/22 0:00,1/22/22 0:00,44056.25,O,S2OH00360,"TIMKEN, JANE",S,OH,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1595574,COLD SPARK MEDIA,"MAIL PRODUCTION, POSTAGE",5/13/22 0:00,5/17/22 0:00,11500.57,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1571826,CLUB FOR GROWTH,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),2/22/22 0:00,2/22/22 0:00,36.97,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1605354,"BREITBART NEWS NETWORK, LLC",DIGITAL AD PLACEMENT,6/24/22 0:00,6/24/22 0:00,12500,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1512975,"MEDIUM BUYING, LLC",TV AD PLACEMENT,4/15/21 0:00,4/17/21 0:00,110457.63,O,H8TX06266,"ELLZEY, JOHN KEVIN SR",H,TX,6,REP,S2021,SPECIAL-GENERAL
C00487470,CLUB FOR GROWTH ACTION,2022,1590523,"THE STONERIDGE GROUP, LLC","MAIL PRODUCTION, POSTAGE",4/25/22 0:00,4/20/22 0:00,12664.68,O,H0WV01072,"MCKINLEY, DAVID B. MR.",H,WV,2,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2022,1573512,"MEDIUM BUYING, LLC",TV AD PLACEMENT,3/7/22 0:00,3/9/22 0:00,968490.01,S,S2NC00505,"BUDD, THEODORE P",S,NC,0,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1520585,CLUB FOR GROWTH,INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21),6/16/21 0:00,6/16/21 0:00,7.24,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,R2021,RUNOFF
C00487470,CLUB FOR GROWTH ACTION,2022,1593685,CLUB FOR GROWTH,MAIL PRODUCTION (FROM ADVANCE LINE 21),5/10/22 0:00,5/10/22 0:00,227.45,S,H0IL15129,"MILLER, MARY",H,IL,15,REP,P2022,
C00487470,CLUB FOR GROWTH ACTION,2021,1514727,CLUB FOR GROWTH,RADIO AD PRODUCTION (FROM ADVANCE LINE 21),4/28/21 0:00,4/28/21 0:00,211.28,S,H2TX06251,"WRIGHT, SUSAN",H,TX,6,REP,S2021,SPECIAL-GENERAL
